"DATE","TRADEVOLUME","TRADEPRICE","OPEN","HIGH","LOW","CLOSE","DIFF","TRANSACTION"
"108/11/01","472,447","18,353,510","38.90","39.05","38.70","38.85","+0.05","307"
"108/11/04","2,348,596","94,274,843","39.75","40.50","39.75","40.25","+1.40","1,519"
"108/11/05","1,239,255","50,142,458","40.45","40.75","40.25","40.30","+0.05","802"
"108/11/06","595,877","23,796,249","40.30","40.30","39.80","40.00","-0.30","467"
"108/11/07","368,834","14,713,439","40.15","40.15","39.80","40.00"," 0.00","228"
"108/11/08","545,002","21,761,976","40.10","40.25","39.85","39.95","-0.05","399"
"108/11/11","1,242,434","48,526,074","39.95","39.95","38.60","38.90","-1.05","771"
"108/11/12","1,073,097","41,461,751","38.90","39.00","38.55","38.55","-0.35","808"
"108/11/13","561,875","21,718,125","38.55","38.85","38.55","38.55"," 0.00","407"
"108/11/14","438,477","16,933,607","38.95","38.95","38.50","38.50","-0.05","347"
"108/11/15","462,411","17,848,004","38.60","38.80","38.55","38.55","+0.05","365"
"108/11/18","675,328","26,455,070","38.80","39.30","38.80","39.30","+0.75","481"
"108/11/19","457,450","17,852,254","39.10","39.25","38.85","38.95","-0.35","333"
"108/11/20","300,803","11,769,220","38.85","39.40","38.85","39.05","+0.10","239"
"108/11/21","588,751","22,990,862","39.00","39.35","38.85","39.10","+0.05","407"
"108/11/22","347,201","13,588,927","39.10","39.35","39.00","39.00","-0.10","225"
"108/11/25","1,040,513","41,144,763","39.20","39.70","39.20","39.50","+0.50","752"
"108/11/26","497,845","19,643,182","39.55","39.65","39.35","39.35","-0.15","363"
"108/11/27","436,445","17,209,947","39.60","39.60","39.30","39.55","+0.20","260"
"108/11/28","1,071,986","42,800,440","39.65","40.10","39.65","39.95","+0.40","632"
"108/11/29","485,802","19,283,535","40.00","40.10","39.50","39.60","-0.35","350"
"108/12/02","415,439","16,340,527","39.60","39.80","39.20","39.25","-0.35","226"
"108/12/03","573,485","22,386,061","39.20","39.25","38.95","38.95","-0.30","417"
"108/12/04","307,416","11,986,014","38.95","39.25","38.90","38.95"," 0.00","209"
"108/12/05","342,367","13,382,763","39.00","39.30","38.95","39.15","+0.20","254"
"108/12/06","285,729","11,218,844","39.10","39.40","39.05","39.30","+0.15","227"
"108/12/09","577,403","22,856,825","39.40","39.70","39.35","39.55","+0.25","328"
"108/12/10","371,129","14,613,671","39.55","39.75","39.30","39.35","-0.20","205"
"108/12/11","310,000","12,146,350","39.30","39.30","39.10","39.10","-0.25","228"
